month,site,treatment,plot_id,functional_group,family,taxon,name_2020,notes
April,WAY,B,4,Fern,Pteridaceae,Eriosorus cheilanthoides,Eriosorus cheilanthoides,NA
April,WAY,B,3,Forb,Orchidaceae,Pterichis sp1,Pterichis sp1,NA
April,PIL,B,1,Gramminoid,Cyperaceae,Rhynchospora macrochaeta,Rhynchospora macrochaeta,NA
April,TRE,B,2,Woody,Ericaceae,Vaccinium floribundum,Vaccinium floribundum,NA
April,TRE,B,5,Gramminoid,Juncaceae,Luzula wide,Luzula racemosa,NA
April,TRE,B,4,Gramminoid,Poaceae,Festuca blue,Festuca dolichophylla,NA
April,TRE,B,3,Forb,Asteraceae,Aphanactis sp1,Aphanactis villosa,NA
April,TRE,B,2,Gramminoid,Juncaceae,Luzula wide,Luzula racemosa,NA
April,PIL,B,1,Gramminoid,Cyperaceae,Carex pichinchensis,Carex pichinchensis,NA
April,PIL,B,5,Gramminoid,Cyperaceae,Oreobolus sp1,Oreobolus goeppingeri,NA
April,PIL,B,5,Forb,Gentianaceae,Gentiana sedifolia,Gentiana sedifolia,NA
April,PIL,B,5,Woody,Ericaceae,Vaccinium floribundum,Vaccinium floribundum,NA
April,TRE,C,2,Woody,Asteraceae,Baccharis genistelloides,Baccharis genistelloides,NA
April,WAY,B,1,Woody,Primulaceae,Myrsine,Myrsine coriacea,NA
April,WAY,B,2,Forb,Iridaceae,Sisyrinchium vaginatum,Sisyrinchium vaginatum,NA
April,WAY,B,1,Gramminoid,Cyperaceae,Carex pedunculado largo,Carex cf. crinalis,NA
April,WAY,B,5,Gramminoid,Cyperaceae,Carex pedunculado largo,Carex cf. crinalis,NA
April,WAY,C,2,Gramminoid,Cyperaceae,Carex pedunculado largo,Carex cf. crinalis,NA
April,WAY,C,2,Gramminoid,Cyperaceae,Rhynchospora brillante,Rhynchospora aristata,NA
April,QUE,C,5,Forb,Asteraceae,Antennaria linearifolia,Antennaria linearifolia,NA
April,ACJ,C,3,Gramminoid,Juncaceae,Luzula narrow,Luzula racemosa,NA
April,TRE,C,3,Woody,Asteraceae,Baccharis caespitosa,Baccharis caespitosa,NA
April,TRE,C,1,Forb,Euphobiaceae,Euphorbia thymifolia,Euphorbia huanchahana,NA
April,ACJ,C,2,Forb,Asteraceae,Senecio purple leaf,Senecio rhizomathus,NA
April,ACJ,C,1,Gramminoid,Poaceae,Bromus lanatus,Bromus lanatus,NA
April,PIL,C,4,Fern,Polypodiaceae,Melpomene moniliformis,Melpomene moniliformis,NA
April,PIL,C,2,Fern,Polypodiaceae,Melpomene moniliformis,Melpomene moniliformis,NA
April,ACJ,B,1,Gramminoid,Cyperaceae,Oreobolus sp1,Oreobolus venezuelensis,NA
April,ACJ,B,2,Gramminoid,Poaceae,Calamagrostis big,Calamagrostis rigida,NA
November,TRE,B,1,Gramminoid,Poaceae,Poa purpurea,Agrostis foliata,NA
November,TRE,B,1,Gramminoid,Cyperaceae,Carex tristicha,Carex pygmaea,NA
November,TRE,B,1,Gramminoid,Poaceae,Not stipa,Calamagrostis tarmensis,NA
